"","start_date","average_audience"
"834",2015-01-12,45747.406
"835",2015-01-13,44279.492
"836",2015-01-14,45253.045
"837",2015-01-15,38855.394
"838",2015-01-16,38446.302
"839",2015-01-17,27071.848
"840",2015-01-18,32166.269
"841",2015-01-19,45094.565
"842",2015-01-20,42714.59
"843",2015-01-21,42925.334
"844",2015-01-22,41311.537
"845",2015-01-23,41197.467
"846",2015-01-24,26937.412
"847",2015-01-25,42598.548
"848",2015-01-26,47891.197
"849",2015-01-27,46264.396
"850",2015-01-28,38181.687
"851",2015-01-29,45091.059
"852",2015-01-30,40022.362
"853",2015-01-31,30942.989
